id,constant,position,translate,
1. Главная страница,,,,
1.1. Посадочная страница.,,,,
1,indexHeaderText.slide1.title,Заголовок №1,Easy and fast entry to the financial markets,
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Company Name will allow anyone to get access to professional trading instrumentss.,
3,indexHeaderText.slide2.title,Заголовок №2,High speed and security of exchange transactions,
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Reputable regulators and a modern platform help to ensure fast and safe trading operations.,
5,indexHeaderText.slide3.title,Заголовок №3,A good opportunity to start trading today,
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Company Name allows a trader to quickly open an account and start trading on the first day after registration.,
7,indexHeaderText.slide4.title,Заголовок №4,A wide variety of trading instruments,
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Company Name provides many opportunities for a trader: stocks, bonds, ETFs and much more.",
1.2. Почему мы? (Преимущества),,,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Why Company Name?,
10,indexAdvantagesText.advantage1.title,Преимущество №1,Low threshold for entry,
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"To start trading, there is no need to invest a large amount, you can start with minimal investments.",
12,indexAdvantagesText.advantage2.title,Преимущество №2,A simple process of depositing and withdrawing funds,
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"Replenishment of the account and withdrawal of profits is the most transparent process, we do not have any hidden commissions.",
14,indexAdvantagesText.advantage3.title,Преимущество №3,Reputable regulators,
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"The activities of Company Name are regulated by the most reliable regulators, namely: ASIC, DFSA, FSCA.",
16,indexAdvantagesText.advantage4.title,Преимущество №4,Variety of account types,
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Our platform can offer an account type for any trader: from a beginner to a professional.,
18,indexAdvantagesText.advantage5.title,Преимущество №5,Many alternatives for input and output,
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,You can top up your account and withdraw funds from it in any way that is convenient for you.,
20,indexAdvantagesText.advantage6.title,Преимущество №6,Round-the-clock customer support,
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Our operators and technical specialists are ready to help and answer all your questions at any time.,
1.3. Дополнительные преимущества.,,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Additional benefits,
23,indexBenefitsText.benefit1.title,Преимущество №1,Risk management,
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Company Name allows you to manage risks regardless of which instrument you use.,
25,indexBenefitsText.benefit2.title,Преимущество №2,Current data,
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,International financial centers transmit data directly to the Company Name platform.,
27,indexBenefitsText.benefit3.title,Преимущество №3,Protection of the trader's interests,
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,The main task of Company Name is to provide safe and comfortable trading for its clients.,
29,indexBenefitsText.benefit4.title,Преимущество №4,Information about the dynamics of quotations,
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,"On our platform, you will be able to analyze the history of the movement of quotes and determine your strategy based on this.",
1.4. Как начать.,,,,
31,indexStepsText.h2,Главный заголовок раздела,Start trading in three stages,
32,indexStepsText.step1.title,Шаг №1,Registration on the platform,
33,indexStepsText.step1.text|dot,Описание Шага №1,"At the first stage, you must specify the contact details.",
34,indexStepsText.step2.title,Шаг №2,Determine the account type,
35,indexStepsText.step2.text|dot,Описание Шага №2,"The second stage involves choosing the type of account, there are several of them on the platform.",
36,indexStepsText.step3.title,Шаг №3,Top up your account,
37,indexStepsText.step3.text|dot,Описание Шага №3,"At the third stage, you only need to top up your deposit at the trading terminal and start trading.",
1.5. Информация об аккаунтах.,,,,
38,indexAccountsText.h2,Главный заголовок раздела,Account Information,
