id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Entrada fácil y rápida a los mercados financieros
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Company Name permitirá a cualquier persona acceder a herramientas profesionales para el comercio.
3,indexHeaderText.slide2.title,Заголовок №2,Alta velocidad y seguridad de las transacciones bursátiles
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Los reguladores de buena reputación y la plataforma moderna ayudan a garantizar operaciones comerciales rápidas y seguras.
5,indexHeaderText.slide3.title,Заголовок №3,Una buena oportunidad para comenzar a operar hoy
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Company Name permite al operador abrir rápidamente una cuenta y comenzar a operar el primer día después del registro.
7,indexHeaderText.slide4.title,Заголовок №4,Gran variedad de instrumentos comerciales
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Company Name ofrece muchas oportunidades para el comerciante: acciones, bonos, ETF y más."
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,¿Por Qué Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Umbral bajo para la entrada
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Para comenzar a operar, no es necesario invertir una gran cantidad, puede comenzar con inversiones mínimas."
12,indexAdvantagesText.advantage2.title,Преимущество №2,Proceso simple de depósito y retiro
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"La reposición de la cuenta y la retirada de beneficios - el proceso más transparente, no tenemos ninguna Comisión oculta."
14,indexAdvantagesText.advantage3.title,Преимущество №3,Reguladores autorizados
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"La actividad de Company Name está regulada por los reguladores más confiables, a saber: ASIC, DFSA, FSCA."
16,indexAdvantagesText.advantage4.title,Преимущество №4,Variedad de tipos de cuentas
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Nuestra plataforma puede ofrecer el tipo de cuenta para cualquier comerciante: desde principiante hasta profesional.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Muchas alternativas para entrada y salida
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Puede depositar y retirar fondos de su cuenta de cualquier manera conveniente para usted.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Atención al cliente 24/7
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Nuestros operadores y técnicos están listos para ayudar y responder a todas sus preguntas en cualquier momento.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Beneficios adicionales
23,indexBenefitsText.benefit1.title,Преимущество №1,Gestión de riesgos
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Company Name le permite administrar los riesgos independientemente de la herramienta que utilice.
25,indexBenefitsText.benefit2.title,Преимущество №2,Datos actuales
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Los centros financieros internacionales transfieren datos directamente a la plataforma Company Name.
27,indexBenefitsText.benefit3.title,Преимущество №3,Protección de los intereses del comerciante
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,La tarea principal de Company Name es proporcionar a sus clientes un comercio seguro y cómodo.
29,indexBenefitsText.benefit4.title,Преимущество №4,Información sobre la dinámica de las cotizaciones
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,"En nuestra plataforma, puede analizar la historia del movimiento de las cotizaciones y, en base a esto, determinar su estrategia."
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Comience a operar en tres etapas
32,indexStepsText.step1.title,Шаг №1,Registro en la plataforma
33,indexStepsText.step1.text|dot,Описание Шага №1,"En el primer paso, debe proporcionar datos de contacto."
