id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,轻松快速地进入金融市场
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Company Name将允许任何人访问专业交易工具。
3,indexHeaderText.slide2.title,Заголовок №2,交换交易的高速度和安全性
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,信誉良好的监管机构和现代化的平台有助于确保快速安全的交易操作。
5,indexHeaderText.slide3.title,Заголовок №3,今天开始交易的好机会
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Company Name允许交易者在注册后的第一天快速开立账户并开始交易。
7,indexHeaderText.slide4.title,Заголовок №4,各种各样的交易工具
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Company Name为交易者提供了许多机会：股票，债券，Etf等等。
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,为什么选择Company Name？
10,indexAdvantagesText.advantage1.title,Преимущество №1,入门门槛低
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,要开始交易，不需要投入大量资金，您可以从最小的投资开始。
12,indexAdvantagesText.advantage2.title,Преимущество №2,存款和取款的简单过程
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,补充账户和提取利润是最透明的过程，我们没有任何隐藏的佣金。
14,indexAdvantagesText.advantage3.title,Преимущество №3,信誉良好的监管机构
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Company Name的活动由最可靠的监管机构监管，即：ASIC，DFSA，FSCA。
16,indexAdvantagesText.advantage4.title,Преимущество №4,多种账户类型
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,我们的平台可以为任何交易者提供账户类型：从初学者到专业人士。
18,indexAdvantagesText.advantage5.title,Преимущество №5,输入和输出的许多替代方案
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,您可以以任何方便的方式为您的帐户充值并从中提取资金。
20,indexAdvantagesText.advantage6.title,Преимущество №6,全天候客户支持
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,我们的操作员和技术专家随时准备提供帮助并回答您的所有问题。
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,其他优势
23,indexBenefitsText.benefit1.title,Преимущество №1,风险管理
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Company Name允许您管理风险，无论您使用哪种工具。
25,indexBenefitsText.benefit2.title,Преимущество №2,当前数据
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,国际金融中心将数据直接传输到Company Name平台。
27,indexBenefitsText.benefit3.title,Преимущество №3,保护交易者的利益
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Company Name的主要任务是为客户提供安全和舒适的交易。
29,indexBenefitsText.benefit4.title,Преимущество №4,有关报价动态的信息
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,在我们的平台上，您将能够分析报价运动的历史记录，并基于此确定您的策略。
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,分三个阶段开始交易
32,indexStepsText.step1.title,Шаг №1,在平台上注册
33,indexStepsText.step1.text|dot,Описание Шага №1,在第一阶段，您必须指定联系方式。
34,indexStepsText.step2.title,Шаг №2,确定帐户类型
35,indexStepsText.step2.text|dot,Описание Шага №2,第二阶段涉及选择帐户类型，平台上有几个帐户。
36,indexStepsText.step3.title,Шаг №3,为您的帐户充值
37,indexStepsText.step3.text|dot,Описание Шага №3,在第三阶段，您只需要在交易终端充值您的存款并开始交易。
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,账户信息
39,indexAccountsText.account1.title,Аккаунт №1,初学者
