id,constant,position,translate,
1. Главная страница,,,,
1.1. Посадочная страница.,,,,
1,indexHeaderText.slide1.title,Заголовок №1,Простой и быстрый вход на финансовые рынки,
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Company Name позволит любому человеку получить доступ к профессиональным инструментам для торговли.,
3,indexHeaderText.slide2.title,Заголовок №2,Высокая скорость и безопасность биржевых сделок,
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Авторитетные регуляторы и современная платформа помогают обеспечить быстрые и безопасные торговые операции.,
5,indexHeaderText.slide3.title,Заголовок №3,Хорошая возможность начать торговать уже сегодня,
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Company Name позволяет трейдеру быстро открыть счет и начать торговать уже в первый день после регистрации.,
7,indexHeaderText.slide4.title,Заголовок №4,Большое разнообразние торговых инструментов,
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Company Name предоставляет множество возможностей для трейдера: акции, облигации, ETF и многое другое.",
1.2. Почему мы? (Преимущества),,,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Почему Company Name?,
10,indexAdvantagesText.advantage1.title,Преимущество №1,Низкий порог для входа,
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Для старта торговли нет необходимости инвестировать крупную сумму, можно начать с минимальных вложений.",
12,indexAdvantagesText.advantage2.title,Преимущество №2,Простой процесс пополнения и снятия средств,
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"Пополнение счета и вывод прибыли - максимально прозрачный процесс, у нас нет никаких скрытых комиссий.",
14,indexAdvantagesText.advantage3.title,Преимущество №3,Авторитетные регуляторы,
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Деятельность Company Name регламентируется самыми надежными регуляторами, а именно: ASIC, DFSA, FSCA.",
16,indexAdvantagesText.advantage4.title,Преимущество №4,Разнообразие типов счетов,
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Наша платформа может предложить тип счета для любого трейдера: от начинающего до профессионала.,
18,indexAdvantagesText.advantage5.title,Преимущество №5,Множество альтернатив для ввода и вывода,
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Пополнять счет и выводить с него средства можно любым удобным для вас способом.,
20,indexAdvantagesText.advantage6.title,Преимущество №6,Круглосуточная поддержка клиентов,
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Наши операторы и технические специалисты готовы помочь и ответить на все ваши вопросы в любое время.,
1.3. Дополнительные преимущества.,,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Дополнительные преимущества,
23,indexBenefitsText.benefit1.title,Преимущество №1,Управление рисками,
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Company Name позволяет управлять рисками независимо от того, какой инструмент вы используете.",
25,indexBenefitsText.benefit2.title,Преимущество №2,Актуальные данные ,
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Международные финансовые центры передают данные напрямую на платформу Company Name.,
27,indexBenefitsText.benefit3.title,Преимущество №3,Защита интересов трейдера,У нас нет обучения!
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Главная задача Company Name - обеспечить для своих клиентов безопасную и комфортную торговлю.,
29,indexBenefitsText.benefit4.title,Преимущество №4,Информация о динамике котировок,
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,На нашей платформе вы сможете проанализировать историю движения котировок и на основе этого определить свою стратегию.,
1.4. Как начать.,,,,
31,indexStepsText.h2,Главный заголовок раздела,Начните торговать в три этапа,
32,indexStepsText.step1.title,Шаг №1,Регистрация на платформе,
33,indexStepsText.step1.text|dot,Описание Шага №1,На первом этапе необходимо указать контактные данные.,
34,indexStepsText.step2.title,Шаг №2,Определить тип счета,
