id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Entrée facile et rapide sur les marchés financiers
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Company Name permettra à quiconque d'accéder à des outils de trading professionnels.
3,indexHeaderText.slide2.title,Заголовок №2,Haute vitesse et sécurité des transactions boursières
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Les régulateurs réputés et la plate-forme moderne aident à assurer des transactions commerciales rapides et sûres.
5,indexHeaderText.slide3.title,Заголовок №3,Une bonne occasion de commencer à trader dès aujourd'hui
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Company Name permet au trader d'ouvrir rapidement un compte et de commencer à trader dès le premier jour après l'inscription.
7,indexHeaderText.slide4.title,Заголовок №4,Une grande variété d'outils de trading
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Company Name offre de nombreuses opportunités pour le commerçant: actions, obligations, ETF, etc."
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Pourquoi Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Seuil d'entrée bas
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Pour démarrer le commerce, il n'est pas nécessaire d'investir une grande quantité, vous pouvez commencer avec un investissement minimum."
12,indexAdvantagesText.advantage2.title,Преимущество №2,Processus simple de dépôt et de retrait
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"Réapprovisionnement et retrait des bénéfices-le processus le plus transparent, nous n'avons pas de commissions cachées."
14,indexAdvantagesText.advantage3.title,Преимущество №3,Régulateurs réputés
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Les activités de Company Name sont régies par les régulateurs les plus fiables, à savoir ASIC, DFSA, FSCA."
16,indexAdvantagesText.advantage4.title,Преимущество №4,Variété de types de comptes
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,"Notre plate-forme peut offrir un type de compte pour tout commerçant, du débutant au professionnel."
18,indexAdvantagesText.advantage5.title,Преимущество №5,Beaucoup d'alternatives pour l'entrée et la sortie
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Vous pouvez recharger votre compte et retirer des fonds de n'importe quelle manière qui vous convient.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Support client 24 heures sur 24
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Nos opérateurs et techniciens sont prêts à vous aider et à répondre à toutes vos questions à tout moment.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Plus
23,indexBenefitsText.benefit1.title,Преимущество №1,Gestion des risques
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Company Name vous permet de gérer les risques, quel que soit l'outil que vous utilisez."
25,indexBenefitsText.benefit2.title,Преимущество №2,Données actualisées
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Les centres financiers internationaux transmettent les données directement à la plate-forme Company Name.
27,indexBenefitsText.benefit3.title,Преимущество №3,Protéger les intérêts du commerçant
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,L'objectif principal de Company Name est de fournir à ses clients un commerce sûr et confortable.
29,indexBenefitsText.benefit4.title,Преимущество №4,Informations sur la dynamique des cotations
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,"Sur notre plate-forme, vous pouvez analyser l'historique du mouvement des citations et, sur cette base, déterminer votre stratégie."
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Commencez à trader en trois étapes
32,indexStepsText.step1.title,Шаг №1,Inscription sur la plateforme
33,indexStepsText.step1.text|dot,Описание Шага №1,"Dans la première étape, vous devez fournir les coordonnées."
