id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Einfacher und schneller Einstieg in die Finanzmärkte
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"Company Name wird es jedem ermöglichen, auf professionelle Trading-Tools zuzugreifen."
3,indexHeaderText.slide2.title,Заголовок №2,Hohe Geschwindigkeit und Sicherheit von Börsengeschäften
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,"Seriöse Regulierungsbehörden und eine moderne Plattform tragen dazu bei, schnelle und sichere Handelsgeschäfte zu ermöglichen."
5,indexHeaderText.slide3.title,Заголовок №3,"Eine gute Gelegenheit, heute mit dem Handel zu beginnen"
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"Company Name ermöglicht es dem Händler, schnell ein Konto zu eröffnen und bereits am ersten Tag nach der Registrierung mit dem Handel zu beginnen."
7,indexHeaderText.slide4.title,Заголовок №4,Große Vielfalt an Handelsinstrumenten
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Company Name bietet viele Möglichkeiten für den Händler: Aktien, Anleihen, ETFs und vieles mehr."
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Warum Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Niedrige Einstiegsschwelle
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Um den Handel zu starten, gibt es keine Notwendigkeit, eine große Menge zu investieren, können Sie mit minimalen Investitionen beginnen."
12,indexAdvantagesText.advantage2.title,Преимущество №2,Einfacher Einzahlungs - und Auszahlungsprozess
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"Die Auffüllung des Kontos und der Rückzug des Gewinns - der maximal durchsichtige Prozess, wir haben keine versteckten Provisionen."
14,indexAdvantagesText.advantage3.title,Преимущество №3,Maßgebliche Aufsichtsbehörden
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Die Tätigkeit von Company Name wird von den zuverlässigsten Regulierungsbehörden geregelt, nämlich ASIC, DFSA, FSCA."
16,indexAdvantagesText.advantage4.title,Преимущество №4,Eine Vielzahl von Kontotypen
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Unsere Plattform kann einen Kontotyp für jeden Händler anbieten: vom Anfänger bis zum Profi.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Viele Alternativen für Eingabe und Ausgabe
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,"Sie können das Konto auffüllen und Geld von ihm abheben, was für Sie bequem ist."
20,indexAdvantagesText.advantage6.title,Преимущество №6,Kunden-Support rund um die Uhr
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Unsere Betreiber und Techniker stehen Ihnen jederzeit zur Verfügung und beantworten alle Ihre Fragen.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Zusätzliche Vorteile
23,indexBenefitsText.benefit1.title,Преимущество №1,Risikomanagement
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Company Name ermöglicht es Ihnen, Risiken zu verwalten, unabhängig davon, welches Werkzeug Sie verwenden."
25,indexBenefitsText.benefit2.title,Преимущество №2,Aktuelle Daten
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Internationale Finanzzentren übertragen die Daten direkt an die Company Name-Plattform.
27,indexBenefitsText.benefit3.title,Преимущество №3,Schutz der Interessen des Händlers
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Die Hauptaufgabe von Company Name ist es, Ihren Kunden einen sicheren und komfortablen Handel zu bieten."
29,indexBenefitsText.benefit4.title,Преимущество №4,Informationen zur Kursdynamik
